"Animal","Condition","Date","Type","Name","Rescue ID","Species"
"Meredith","Healthy","4/7/2018 3:03 PM","Adoption","Meredith","D180106","Dog"
"Pudgy","Healthy","4/7/2018 3:06 PM","Adoption","Pudgy","D180055","Dog"
"Michael","Healthy","4/7/2018 3:13 PM","Adoption","Michael","D180104","Dog"
"Hazel","Healthy","4/7/2018 3:17 PM","Adoption","Hazel","D180143","Dog"
"Dixie","Healthy","4/7/2018 3:48 PM","Adoption","Dixie","D180141","Dog"
"Lucile","Healthy","4/7/2018 4:06 PM","Adoption","Lucile","C180085","Cat"
"Tito","Healthy","4/7/2018 6:55 PM","Adoption","Tito","D180133","Dog"
"Stitch","Healthy","4/8/2018 10:03 AM","Return to Owner","Stitch","D180150","Dog"
"Vera","Healthy","4/8/2018 10:04 AM","Return to Owner","Vera","D180052","Dog"
"Luna","Healthy","4/8/2018 5:25 PM","Adoption","Luna","D180138","Dog"
"Thumbelina","Healthy","4/8/2018 6:31 PM","Adoption","Thumbelina","C170394","Cat"
"Sydney","Healthy","4/8/2018 6:33 PM","Adoption","Sydney","D180144","Dog"
"Princess","Healthy","4/9/2018 4:28 PM","Return to Owner","Princess","D180159","Dog"
"Olivia","Healthy","4/9/2018 4:36 PM","Return to Owner","Olivia","D180081","Dog"
"Kelly","Healthy","4/10/2018 4:18 PM","Adoption","Kelly","D180100","Dog"
"Angela","Healthy","4/10/2018 5:26 PM","Adoption","Angela","D180105","Dog"
"Marley","Healthy","4/10/2018 5:31 PM","Adoption","Marley","D180153","Dog"
"Macy","Healthy","4/10/2018 7:07 PM","Adoption","Macy","D180142","Dog"
"Luna","Healthy","4/10/2018 7:34 PM","Adoption","Luna","D180138","Dog"
"Bitsy","Healthy","4/10/2018 8:09 PM","Adoption","Bitsy","D180156","Dog"
"Alexander","Healthy","4/10/2018 8:51 PM","Adoption","Alexander","C180078","Cat"
"Lancelot","Healthy","4/11/2018 5:04 PM","Adoption","Lancelot","C180101","Cat"
"Rogue","Healthy","4/11/2018 6:37 PM","Adoption","Rogue","D180022","Dog"
"Mojave","Healthy","4/11/2018 7:40 PM","Adoption","Mojave","D180129","Dog"
"Betty Boop","Healthy","4/12/2018 2:56 PM","Adoption","Betty Boop","C180048","Cat"
"Keely","Healthy","4/12/2018 4:20 PM","Return to Owner","Keely","D180034","Dog"
"Bowie","Healthy","4/12/2018 6:48 PM","Adoption","Bowie","D180154","Dog"
"Angel","Treatable - Manageable","4/12/2018 7:03 PM","Return to Owner","Angel","C180122","Cat"
"Ninja","Healthy","4/12/2018 9:06 PM","Return to Owner","Ninja","C150033","Cat"
"Wyatt Earp","Healthy","4/13/2018 3:20 PM","Return to Owner","Wyatt Earp","D180163","Dog"
"Calamity Jane","Healthy","4/13/2018 3:22 PM","Return to Owner","Calamity Jane","D180164","Dog"
"Dwight","Healthy","4/13/2018 6:15 PM","Adoption","Dwight","D180099","Dog"
"Lucy","Healthy","4/13/2018 7:17 PM","Adoption","Lucy","D180110","Dog"
"Azalea","Healthy","4/13/2018 7:28 PM","Return to Owner","Azalea","D170371","Dog"
"Sydney","Healthy","4/13/2018 8:17 PM","Adoption","Sydney","D180144","Dog"
"Grizzly","Healthy","4/14/2018 2:47 PM","Return to Owner","Grizzly","D180160","Dog"
"Gru","Healthy","4/14/2018 3:58 PM","Adoption","Gru","D180155","Dog"
"Phyllis","Healthy","4/14/2018 6:44 PM","Adoption","Phyllis","D180102","Dog"
"Pam","Healthy","4/14/2018 6:46 PM","Adoption","Pam","D180103","Dog"
"Stella","Healthy","4/14/2018 7:09 PM","Adoption","Stella","D180151","Dog"
"Remus","Healthy","4/15/2018 9:10 AM","Adoption","Remus","C170493","Cat"
"Romulus","Healthy","4/15/2018 9:12 AM","Adoption","Romulus","C170494","Cat"
"April","Healthy","4/15/2018 9:17 AM","Adoption","April","C180113","Cat"
"May","Healthy","4/15/2018 9:19 AM","Adoption","May","C180114","Cat"
"Ebonnie","Healthy","4/15/2018 1:03 PM","Return to Owner","Ebonnie","D170129","Dog"
"Panda","Healthy","4/15/2018 1:48 PM","Return to Owner","Panda","D180161","Dog"
"Gus","Healthy","4/15/2018 1:49 PM","Return to Owner","Gus","D180162","Dog"
"Odin","Healthy","4/15/2018 1:49 PM","Return to Owner","Odin","C180127","Cat"
"Jasmine","Healthy","4/15/2018 6:10 PM","Adoption","Jasmine","C170517","Cat"
"Clover","Healthy","4/15/2018 6:51 PM","Adoption","Clover","C180112","Cat"
"Chloe","Healthy","4/16/2018 3:48 PM","Return to Owner","Chloe","D180139","Dog"
"Becky","Healthy","4/16/2018 8:49 PM","Adoption","Becky","C180067","Cat"
"Ranger","Healthy","4/17/2018 6:20 PM","Adoption","Ranger","D180135","Dog"
"Jay","Healthy","4/17/2018 6:54 PM","Adoption","Jay","D180158","Dog"
"Butch","Treatable - Manageable","4/18/2018 2:46 PM","Return to Owner","Butch","D180170","Dog"
"Princess","Healthy","4/18/2018 3:49 PM","Adoption","Princess","D170361","Dog"
"Arthur Kitten 1","Deceased","4/18/2018 4:59 PM","Deceased","Arthur Kitten 1","C180123","Cat"
"Penelope","Healthy","4/18/2018 7:04 PM","Adoption","Penelope","D180027","Dog"
"Dawn","Unhealthy and Untreatable","4/18/2018 7:10 PM","Return to Owner","Dawn","C180128","Cat"
"Brock","Healthy","4/19/2018 4:27 PM","Return to Owner","Brock","D180168","Dog"
"Lincoln","Healthy","4/19/2018 4:29 PM","Return to Owner","Lincoln","D180167","Dog"
"AJ","Treatable - Rehabilitatable","4/20/2018 1:04 PM","Transfer","AJ","C180135","Cat"
"Keely","Healthy","4/21/2018 4:02 PM","Adoption","Keely","D180034","Dog"
"Blue","Healthy","4/21/2018 5:45 PM","Return to Owner","Blue","C180076","Cat"
"Hershey","Healthy","4/21/2018 6:25 PM","Adoption","Hershey","C110485","Cat"
"Paris","Healthy","4/22/2018 3:29 PM","Return to Owner","Paris","D170241","Dog"
"Maggie","Healthy","4/22/2018 4:20 PM","Return to Owner","Maggie","D180131","Dog"
"Ollie","Healthy","4/22/2018 4:25 PM","Return to Owner","Ollie","D180053","Dog"
"Calvin","Healthy","4/22/2018 7:02 PM","Adoption","Calvin","C170358","Cat"
"Yukon","Healthy","4/23/2018 7:41 PM","Adoption","Yukon","D180130","Dog"
"Abner","Healthy","4/24/2018 12:29 PM","Adoption","Abner","C180118","Cat"
"Caterpillar","Healthy","4/24/2018 3:19 PM","Adoption","Caterpillar","C180103","Cat"
"Audrey","Unhealthy and Untreatable","4/24/2018 3:24 PM","Euthanasia","Audrey","C150011","Cat"
"Bella","Healthy","4/24/2018 7:47 PM","Return to Owner","Bella","D180192","Dog"
"Jax","Treatable - Rehabilitatable","4/24/2018 8:20 PM","Return to Owner","Jax","D180178","Dog"
"Ginger","Healthy","4/25/2018 4:07 PM","Adoption","Ginger","D180175","Dog"
"Susie","Healthy","4/25/2018 5:06 PM","Adoption","Susie","D180172","Dog"
"Gatsby","Healthy","4/25/2018 8:53 PM","Adoption","Gatsby","C170524","Cat"
"Nova","Healthy","4/25/2018 9:09 PM","Adoption","Nova","D180176","Dog"
"Chica","Healthy","4/25/2018 9:39 PM","Adoption","Chica","D180171","Dog"
"Pixie","Healthy","4/26/2018 8:04 AM","Adoption","Pixie","C170536","Cat"
"Fred","Healthy","4/26/2018 3:56 PM","Transfer","Fred","D180195","Dog"
"Cooper","Healthy","4/26/2018 3:56 PM","Adoption","Cooper","D180193","Dog"
"Lucy","Healthy","4/26/2018 3:59 PM","Transfer","Lucy","D180194","Dog"
"Delilah","Unhealthy and Untreatable","4/27/2018 2:14 PM","Transfer","Delilah","D180190","Dog"
"Noah","Unhealthy and Untreatable","4/27/2018 2:19 PM","Transfer","Noah","D180185","Dog"
"Brodie","Unhealthy and Untreatable","4/27/2018 2:21 PM","Transfer","Brodie","D180184","Dog"
"Milo","Unhealthy and Untreatable","4/27/2018 2:21 PM","Transfer","Milo","D180188","Dog"
"Theo","Healthy","4/27/2018 3:25 PM","Adoption","Theo","C170473","Cat"
"Junebug","Healthy","4/27/2018 3:50 PM","Adoption","Junebug","C180102","Cat"
"Edgar","Unhealthy and Untreatable","4/27/2018 3:53 PM","Adoption","Edgar","D170208","Dog"
"Mr. Coffee","Healthy","4/27/2018 8:30 PM","Return to Owner","Mr. Coffee","C180039","Cat"
"Loli","Healthy","4/28/2018 12:49 PM","Adoption","Loli","C180084","Cat"
"Fargo","Healthy","4/28/2018 2:02 PM","Adoption","Fargo","D180177","Dog"
"Max","Healthy","4/28/2018 5:56 PM","Adoption","Max","D170302","Dog"
"Cowboy Slick","Healthy","4/28/2018 6:05 PM","Adoption","Cowboy Slick","C170515","Cat"
"Damon","Healthy","4/28/2018 6:45 PM","Adoption","Damon","C170523","Cat"
"Gustav","Healthy","5/1/2018 11:45 AM","Adoption","Gustav","C180054","Cat"
"Clifford","Unhealthy and Untreatable","5/1/2018 4:22 PM","Transfer","Clifford","D180182","Dog"
"Levi","Unhealthy and Untreatable","5/1/2018 4:24 PM","Transfer","Levi","D180189","Dog"
"Brintley","Healthy","5/1/2018 4:45 PM","Return to Owner","Brintley","D180060","Dog"
"Roy","Healthy","5/1/2018 5:08 PM","Return to Owner","Roy","D180059","Dog"
"Peyton","Healthy","5/2/2018 1:29 PM","Adoption","Peyton","D180046","Dog"
"Lizzy","Healthy","5/2/2018 1:53 PM","Return to Owner","Lizzy","D180201","Dog"
"Gilligan","Healthy","5/2/2018 2:18 PM","Return to Owner","Gilligan","C180055","Cat"
"Hagrid","Treatable - Manageable","5/2/2018 2:23 PM","Return to Owner","Hagrid","C180052","Cat"
"Starlight","Healthy","5/2/2018 2:42 PM","Adoption","Starlight","C180108","Cat"
"Mitchell","Healthy","5/2/2018 2:46 PM","Transfer","Mitchell","D180206","Dog"
"Shaggy","Healthy","5/2/2018 5:31 PM","Adoption","Shaggy","D180166","Dog"
"Nella","Healthy","5/3/2018 2:58 PM","Adoption","Nella","C100050","Cat"
"Lilly","Healthy","5/3/2018 7:01 PM","Adoption","Lilly","C170498","Cat"
"Dodger","Healthy","5/4/2018 5:18 PM","Return to Owner","Dodger","D180179","Dog"
"Easter","Healthy","5/4/2018 8:17 PM","Adoption","Easter","C180156","Cat"
"Carolina","Healthy","5/4/2018 8:25 PM","Adoption","Carolina","D180173","Dog"
"Tucker","Healthy","5/4/2018 8:32 PM","Adoption","Tucker","D180203","Dog"
"Chance","Healthy","5/4/2018 9:04 PM","Return to Owner","Chance","D180207","Dog"
"Oakley","Healthy","5/4/2018 9:09 PM","Adoption","Oakley","D180208","Dog"
"Maisie","Healthy","5/5/2018 12:55 PM","Adoption","Maisie","D180196","Dog"
"Nomi","Healthy","5/5/2018 4:14 PM","Return to Owner","Nomi","D180210","Dog"
"Charlie","Healthy","5/5/2018 4:20 PM","Return to Owner","Charlie","D180209","Dog"
"Libby","Healthy","5/5/2018 4:47 PM","Adoption","Libby","D180174","Dog"
"Gil","Healthy","5/5/2018 5:35 PM","Adoption","Gil","C180106","Cat"
"Gelato","Healthy","5/5/2018 5:38 PM","Adoption","Gelato","C180008","Cat"
"Taco","Healthy","5/5/2018 6:28 PM","Adoption","Taco","D180202","Dog"
"Pippin","Healthy","5/5/2018 6:51 PM","Adoption","Pippin","D180146","Dog"
"Penelope","Healthy","5/6/2018 2:46 PM","Adoption","Penelope","D180149","Dog"
"Phoebe","Healthy","5/6/2018 3:33 PM","Adoption","Phoebe","D180148","Dog"
"Paisley","Healthy","5/6/2018 3:35 PM","Adoption","Paisley","D180145","Dog"
"Ash","Healthy","5/6/2018 3:39 PM","Adoption","Ash","C180180","Cat"
"Petey","Healthy","5/6/2018 3:47 PM","Adoption","Petey","D180147","Dog"
"Luigi","Healthy","5/6/2018 4:21 PM","Adoption","Luigi","D180157","Dog"
"Brintley","Healthy","5/6/2018 4:39 PM","Adoption","Brintley","D180060","Dog"
"Felix","Healthy","5/6/2018 4:44 PM","Adoption","Felix","D180097","Dog"
"Roy","Healthy","5/6/2018 5:25 PM","Adoption","Roy","D180059","Dog"
"Marge","Healthy","5/6/2018 7:10 PM","Adoption","Marge","C180040","Cat"
"Spanky","Healthy","5/7/2018 4:22 PM","Return to Owner","Spanky","D170287","Dog"
"Layna","Healthy","5/7/2018 4:23 PM","Return to Owner","Layna","D170288","Dog"
"Claus","Healthy","5/7/2018 6:47 PM","Return to Owner","Claus","D180214","Dog"
"Moose","Healthy","5/7/2018 10:35 PM","Adoption","Moose","C180099","Cat"
"Fluffy","Healthy","5/8/2018 1:06 PM","Return to Owner","Fluffy","D180215","Dog"
"Fluffy","Healthy","5/8/2018 2:49 PM","Return to Owner","Fluffy","D180258","Dog"
"Dusty","Healthy","5/8/2018 3:09 PM","Adoption","Dusty","C180100","Cat"
"Rupert","Healthy","5/8/2018 6:36 PM","Adoption","Rupert","C180178","Cat"
"Cami","Healthy","5/8/2018 6:50 PM","Adoption","Cami","C180131","Cat"
"Sunshine","Healthy","5/9/2018 7:41 AM","Adoption","Sunshine","C180111","Cat"
"Moo Moo","Healthy","5/9/2018 5:08 PM","Return to Owner","Moo Moo","D180216","Dog"
"Daisy","Healthy","5/9/2018 5:52 PM","Adoption","Daisy","D180152","Dog"
"Egg","Healthy","5/9/2018 7:31 PM","Adoption","Egg","C180104","Cat"
"Abigail","Healthy","5/9/2018 8:08 PM","Adoption","Abigail","C180046","Cat"
"Sweet Pea","Healthy","5/10/2018 4:30 PM","Return to Owner","Sweet Pea","C180004","Cat"
"Bruce","Healthy","5/10/2018 7:45 PM","Return to Owner","Bruce","D170092","Dog"
"Tay","Healthy","5/10/2018 7:46 PM","Return to Owner","Tay","D170091","Dog"
"Ava","Healthy","5/10/2018 8:31 PM","Return to Owner","Ava","D160005","Dog"
"Brody","Healthy","5/10/2018 8:47 PM","Adoption","Brody","D180212","Dog"
"King","Healthy","5/11/2018 8:35 PM","Return to Owner","King","D180217","Dog"
"Delilah","Healthy","5/12/2018 1:48 PM","Return to Owner","Delilah","D180223","Dog"
"Tipton","Healthy","5/12/2018 2:04 PM","Transfer","Tipton","D180224","Dog"
"Vlad","Healthy","5/12/2018 5:17 PM","Adoption","Vlad","C180109","Cat"
"Luke","Treatable - Rehabilitatable","5/12/2018 5:18 PM","Transfer","Luke","D180222","Dog"
"Bo","Healthy","5/12/2018 6:04 PM","Return to Owner","Bo","C140249","Cat"
"Vincenzo","Healthy","5/12/2018 6:06 PM","Return to Owner","Vincenzo","C140248","Cat"
"Krista","Healthy","5/13/2018 7:56 AM","Adoption","Krista","C180116","Cat"
"Simon","Healthy","5/13/2018 8:00 AM","Adoption","Simon","C110330","Cat"
"Harlow","Healthy","5/13/2018 1:46 PM","Return to Owner","Harlow","D180226","Dog"
"PaaPaw","Healthy","5/13/2018 2:39 PM","Adoption","PaaPaw","D180003","Dog"
"Adonis","Healthy","5/13/2018 3:20 PM","Adoption","Adonis","D180123","Dog"
"Stella","Healthy","5/13/2018 4:23 PM","Adoption","Stella","D180211","Dog"
"Mimsy","Healthy","5/13/2018 5:27 PM","Adoption","Mimsy","C180107","Cat"
"Frankie","Healthy","5/13/2018 5:27 PM","Return to Owner","Frankie","C180205","Cat"
"Parmesan","Healthy","5/13/2018 5:52 PM","Adoption","Parmesan","D180199","Dog"
"Oden","Healthy","5/13/2018 5:53 PM","Adoption","Oden","C180133","Cat"
"Jake","Healthy","5/13/2018 5:59 PM","Return to Owner","Jake","D180227","Dog"
"JD","Healthy","5/13/2018 10:52 PM","Return to Owner","JD","D180038","Dog"
"Rio","Healthy","5/15/2018 6:36 PM","Adoption","Rio","D180213","Dog"
"Murphy","Healthy","5/15/2018 6:43 PM","Adoption","Murphy","D180186","Dog"
"Mister Littles","Healthy","5/15/2018 8:56 PM","Return to Owner","Mister Littles","D180230","Dog"
"Angela","Healthy","5/15/2018 11:31 PM","Return to Owner","Angela","C150040","Cat"
"Bubba","Healthy","5/15/2018 11:32 PM","Return to Owner","Bubba","D180063","Dog"
"Mama","Healthy","5/15/2018 11:33 PM","Return to Owner","Mama","D180066","Dog"
"Junior","Healthy","5/15/2018 11:35 PM","Return to Owner","Junior","D180064","Dog"
"Shelby","Healthy","5/15/2018 11:36 PM","Return to Owner","Shelby","D180065","Dog"
"Cotton","Healthy","5/16/2018 6:09 PM","Return to Owner","Cotton","D180125","Dog"
"Fat Boy","Healthy","5/16/2018 6:23 PM","Return to Owner","Fat Boy","D180126","Dog"
"Phantom","Healthy","5/16/2018 7:43 PM","Adoption","Phantom","D180183","Dog"
"Lacey Swiss","Healthy","5/16/2018 7:48 PM","Adoption","Lacey Swiss","D180198","Dog"
"Zara","Treatable - Manageable","5/16/2018 7:51 PM","Adoption","Zara","D170397","Dog"
"Mochi","Healthy","5/16/2018 8:17 PM","Adoption","Mochi","C160043","Cat"
"Panda","Healthy","5/16/2018 8:26 PM","Adoption","Panda","C180121","Cat"
"Mason","Healthy","5/16/2018 8:44 PM","Adoption","Mason","D180187","Dog"
"Lueders Kitten 3","Unhealthy and Untreatable","5/18/2018 1:53 PM","Deceased","Lueders Kitten 3","C180250","Cat"
"Felony","Healthy","5/19/2018 6:39 PM","Return to Owner","Felony","D180204","Dog"
"Alibi","Healthy","5/19/2018 6:40 PM","Return to Owner","Alibi","D180205","Dog"
"Mini Cooper","Healthy","5/19/2018 7:31 PM","Return to Owner","Mini Cooper","D180229","Dog"
"Pepper","Healthy","5/19/2018 7:32 PM","Return to Owner","Pepper","D140001","Dog"
"Fat Boy","Healthy","5/19/2018 7:59 PM","Return to Owner","Fat Boy","D180126","Dog"
"Archer","Healthy","5/19/2018 8:26 PM","Adoption","Archer","D180181","Dog"
"Sofie","Healthy","5/20/2018 2:05 PM","Return to Owner","Sofie","D180246","Dog"
"Bianca","Healthy","5/20/2018 3:46 PM","Adoption","Bianca","C180130","Cat"
"Latte","Healthy","5/20/2018 3:56 PM","Adoption","Latte","C180210","Cat"
"Gouda","Healthy","5/20/2018 6:58 PM","Adoption","Gouda","D180197","Dog"
"Lil' Foot","Healthy","5/21/2018 10:23 AM","Adoption","Lil' Foot","C180045","Cat"
"Mel","Healthy","5/21/2018 6:59 PM","Adoption","Mel","C180185","Cat"
"S'more","Healthy","5/21/2018 8:32 PM","Adoption","S'more","C110486","Cat"
"Kilani","Healthy","5/23/2018 3:55 PM","Adoption","Kilani","D180221","Dog"
"Lulu","Healthy","5/23/2018 5:01 PM","Return to Owner","Lulu","D160309","Dog"
"Poppy","Healthy","5/23/2018 5:01 PM","Return to Owner","Poppy","D170189","Dog"
"Babbs","Healthy","5/24/2018 3:33 PM","Transfer","Babbs","D180254","Dog"
"Susie","Healthy","5/24/2018 3:56 PM","Adoption","Susie","D180172","Dog"
"Iku","Healthy","5/24/2018 4:33 PM","Transfer","Iku","D180253","Dog"
"Cruella","Unhealthy and Untreatable","5/24/2018 4:48 PM","Transfer","Cruella","C180093","Cat"
"Mecto","Healthy","5/24/2018 8:48 PM","Adoption","Mecto","C180188","Cat"
"Eli","Healthy","5/25/2018 3:16 PM","Adoption","Eli","C180229","Cat"
"Dwayne","Healthy","5/25/2018 3:22 PM","Adoption","Dwayne","D170309","Dog"
"Angellina","Healthy","5/25/2018 3:28 PM","Adoption","Angellina","C140049","Cat"
"Ginger","Healthy","5/25/2018 3:29 PM","Adoption","Ginger","C140004","Cat"
"Leah","Healthy","5/25/2018 3:31 PM","Adoption","Leah","C130024","Cat"
"Lester","Healthy","5/25/2018 7:07 PM","Adoption","Lester","C180225","Cat"
"Tim","Healthy","5/25/2018 7:22 PM","Adoption","Tim","C180187","Cat"
"Piglet","Healthy","5/25/2018 7:36 PM","Adoption","Piglet","D180241","Dog"
"Fluffy","Healthy","5/25/2018 8:21 PM","Return to Owner","Fluffy","D180258","Dog"
"Faith","Healthy","5/26/2018 3:00 PM","Adoption","Faith","D180234","Dog"
"Birdie","Healthy","5/26/2018 3:10 PM","Adoption","Birdie","C180105","Cat"
"Roscoe","Healthy","5/26/2018 5:00 PM","Adoption","Roscoe","D180134","Dog"
"Sunshine","Healthy","5/26/2018 5:48 PM","Return to Owner","Sunshine","D180257","Dog"
"Roo","Healthy","5/26/2018 6:04 PM","Adoption","Roo","D180240","Dog"
"Jasper","Healthy","5/26/2018 7:01 PM","Adoption","Jasper","C180224","Cat"
"Riley","Healthy","5/27/2018 11:21 AM","Return to Owner","Riley","D180269","Dog"
"Payson","Healthy","5/27/2018 5:18 PM","Adoption","Payson","C180214","Cat"
"Goose","Healthy","5/28/2018 11:43 AM","Adoption","Goose","C180217","Cat"
"Stray 1","Healthy","5/28/2018 3:00 PM","Transfer","Stray 1","D180266","Dog"
"Ewan","Healthy","5/28/2018 4:34 PM","Adoption","Ewan","C180179","Cat"
"Fritz","Healthy","5/28/2018 4:52 PM","Adoption","Fritz","C180166","Cat"
"Lohan","Healthy","5/29/2018 12:19 PM","Transfer","Lohan","D180268","Dog"
"Callie","Healthy","5/29/2018 7:21 PM","Adoption","Callie","C180189","Cat"
"Peony","Healthy","5/29/2018 8:17 PM","Adoption","Peony","D180237","Dog"
"Gnochi","Healthy","5/29/2018 8:42 PM","Adoption","Gnochi","D180242","Dog"
"Sonoma","Healthy","5/30/2018 6:57 PM","Return to Owner","Sonoma","D180270","Dog"
"Missy","Healthy","5/30/2018 7:37 PM","Adoption","Missy","D180231","Dog"
"Harley","Healthy","5/30/2018 7:39 PM","Adoption","Harley","D180218","Dog"
"Polo","Healthy","5/30/2018 8:52 PM","Adoption","Polo","D180233","Dog"
"Sloan","Healthy","5/31/2018 10:27 AM","Adoption","Sloan","D180239","Dog"
"Sia","Healthy","5/31/2018 11:31 AM","Adoption","Sia","D180255","Dog"
"Beck","Healthy","5/31/2018 3:24 PM","Adoption","Beck","D180191","Dog"
"Snickers","Healthy","5/31/2018 3:26 PM","Return to Owner","Snickers","C180124","Cat"
"Dodger","Treatable - Rehabilitatable","5/31/2018 4:29 PM","Transfer","Dodger","D180179","Dog"
"Jax","Treatable - Rehabilitatable","5/31/2018 4:30 PM","Transfer","Jax","D180178","Dog"
"Ferb","Healthy","5/31/2018 6:56 PM","Adoption","Ferb","D180260","Dog"
"Pauly","Healthy","6/1/2018 6:01 PM","Adoption","Pauly","C180066","Cat"
"Valentina","Healthy","6/1/2018 6:08 PM","Return to Owner","Valentina","D180274","Dog"
"Minnie","Healthy","6/2/2018 8:44 AM","Adoption","Minnie","C180190","Cat"
"Ellis","Healthy","6/2/2018 12:15 PM","Adoption","Ellis","C180115","Cat"
"Max","Healthy","6/2/2018 3:05 PM","Return to Owner","Max","D180238","Dog"
"Happy Blackburn","Healthy","6/2/2018 4:23 PM","Return to Owner","Happy Blackburn","D180277","Dog"
"Sasha","Healthy","6/2/2018 4:36 PM","Adoption","Sasha","D180256","Dog"
"Cinder","Healthy","6/2/2018 6:15 PM","Adoption","Cinder","C180195","Cat"
"Mickey","Healthy","6/2/2018 6:36 PM","Adoption","Mickey","C180191","Cat"
"Joyful","Healthy","6/3/2018 12:33 PM","Return to Owner","Joyful","C180272","Cat"
"Rocky","Healthy","6/3/2018 2:01 PM","Adoption","Rocky","D180276","Dog"
"Hopper","Healthy","6/3/2018 2:46 PM","Adoption","Hopper","D180261","Dog"
"Gracie","Healthy","6/3/2018 4:55 PM","Return to Owner","Gracie","D180251","Dog"
"Diddy","Healthy","6/4/2018 5:18 PM","Adoption","Diddy","D180273","Dog"
"Milo","Healthy","6/4/2018 7:01 PM","Adoption","Milo","D180232","Dog"
"Alta","Healthy","6/5/2018 2:32 PM","Adoption","Alta","C180117","Cat"
"Midge","Treatable - Manageable","6/5/2018 5:13 PM","Adoption","Midge","D180271","Dog"
"Riley","Healthy","6/6/2018 7:46 PM","Return to Owner","Riley","D180283","Dog"
"Sophie","Healthy","6/6/2018 8:45 PM","Return to Owner","Sophie","D180278","Dog"
"Lexie","Healthy","6/6/2018 8:47 PM","Return to Owner","Lexie","D180279","Dog"
"Patrick","Healthy","6/7/2018 2:52 PM","Adoption","Patrick","C180204","Cat"
"Ares","Healthy","6/7/2018 4:50 PM","Adoption","Ares","D170188","Dog"
"Sedona","Healthy","6/8/2018 9:32 AM","Adoption","Sedona","C180216","Cat"
"Alexander","Healthy","6/9/2018 3:00 PM","Adoption","Alexander","C180078","Cat"
"Lime","Healthy","6/9/2018 3:13 PM","Adoption","Lime","C180235","Cat"
"Fletcher","Healthy","6/9/2018 3:41 PM","Adoption","Fletcher","D180282","Dog"
"Eve","Healthy","6/9/2018 4:15 PM","Adoption","Eve","C180238","Cat"
"Chase","Healthy","6/9/2018 7:17 PM","Adoption","Chase","C180134","Cat"
"Charlie","Healthy","6/9/2018 7:21 PM","Adoption","Charlie","D180284","Dog"
"Donald","Healthy","6/10/2018 9:11 AM","Adoption","Donald","C180192","Cat"
"Teddy","Healthy","6/10/2018 2:57 PM","Adoption","Teddy","C180198","Cat"
"Gavin","Healthy","6/10/2018 2:57 PM","Adoption","Gavin","C180197","Cat"
"Jordan","Healthy","6/10/2018 3:40 PM","Adoption","Jordan","D180285","Dog"
"Christina","Healthy","6/10/2018 3:43 PM","Adoption","Christina","C180237","Cat"
"Diego","Healthy","6/10/2018 4:08 PM","Adoption","Diego","C180140","Cat"
"Stitch","Healthy","6/10/2018 4:28 PM","Adoption","Stitch","D180289","Dog"
"Margaritaville","Healthy","6/10/2018 4:38 PM","Adoption","Margaritaville","C180164","Cat"
"Titan","Healthy","6/10/2018 4:55 PM","Adoption","Titan","C180196","Cat"
"Lulu","Healthy","6/11/2018 3:48 PM","Return to Owner","Lulu","D160309","Dog"
"Poppy","Healthy","6/11/2018 3:48 PM","Return to Owner","Poppy","D170189","Dog"
"Tango","Treatable - Manageable","6/11/2018 3:55 PM","Adoption","Tango","C170356","Cat"
"Aurora","Healthy","6/11/2018 4:05 PM","Return to Owner","Aurora","D170220","Dog"
"Rooney","Healthy","6/11/2018 4:06 PM","Return to Owner","Rooney","D170219","Dog"
"Chaps","Healthy","6/12/2018 3:16 PM","Adoption","Chaps","C180186","Cat"
"Pretty Mama","Healthy","6/13/2018 7:50 AM","Adoption","Pretty Mama","C180172","Cat"
"Quinn","Healthy","6/13/2018 7:59 AM","Adoption","Quinn","C180227","Cat"
"Peaches","Healthy","6/13/2018 7:32 PM","Adoption","Peaches","D180252","Dog"
"Ignacio","Healthy","6/13/2018 7:51 PM","Adoption","Ignacio","D180287","Dog"
"Cricket","Healthy","6/14/2018 8:04 PM","Adoption","Cricket","C180155","Cat"
"Piper","Healthy","6/14/2018 8:06 PM","Adoption","Piper","C180246","Cat"
"Fox","Healthy","6/14/2018 8:20 PM","Return to Owner","Fox","D170076","Dog"
"Wendell","Healthy","6/15/2018 1:40 PM","Adoption","Wendell","D180220","Dog"
"Annie","Healthy","6/15/2018 2:48 PM","Adoption","Annie","D180288","Dog"
"Fox","Healthy","6/15/2018 5:08 PM","Adoption","Fox","D170076","Dog"
"Jordan","Treatable - Manageable","6/15/2018 5:19 PM","Transfer","Jordan","D180296","Dog"
"Camryn","Healthy","6/15/2018 8:15 PM","Adoption","Camryn","C180169","Cat"
"Jensen","Healthy","6/15/2018 8:18 PM","Adoption","Jensen","D180250","Dog"
"Ruby","Healthy","6/15/2018 8:20 PM","Adoption","Ruby","D180247","Dog"
"Remy","Healthy","6/15/2018 8:31 PM","Adoption","Remy","D180248","Dog"
"Joby","Healthy","6/15/2018 8:31 PM","Adoption","Joby","D180249","Dog"
"Dory","Healthy","6/15/2018 8:40 PM","Adoption","Dory","D180291","Dog"
"Lola","Healthy","6/16/2018 2:31 PM","Adoption","Lola","D180294","Dog"
"Loli","Healthy","6/16/2018 10:23 PM","Adoption","Loli","C180084","Cat"
"Luna","Healthy","6/17/2018 11:27 AM","Adoption","Luna","C180228","Cat"
